  1%|▊                                                                                                                                                         | 2/362 [00:03<11:18,  1.88s/it]The following columns in the training set don't have a corresponding argument in `LlamaForCausalLM.forward` and have been ignored: is_prior. If is_prior are not expected by `LlamaForCausalLM.forward`,  you can safely ignore this message.
{'loss': 1.8008, 'grad_norm': 3.533137321472168, 'learning_rate': 1.6797077428717912e-06, 'epoch': 0.63}
{'loss': 2.1036, 'grad_norm': 4.0754899978637695, 'learning_rate': 1.6581122405674682e-06, 'epoch': 0.63}
{'loss': 1.753, 'grad_norm': 4.044243812561035, 'learning_rate': 1.6365873639467314e-06, 'epoch': 0.63}
{'loss': 1.564, 'grad_norm': 3.1705214977264404, 'learning_rate': 1.6151349187243066e-06, 'epoch': 0.63}
{'loss': 2.4422, 'grad_norm': 4.427021503448486, 'learning_rate': 1.593756704538675e-06, 'epoch': 0.64}
{'loss': 1.6955, 'grad_norm': 3.9496707916259766, 'learning_rate': 1.572454514801101e-06, 'epoch': 0.64}
{'loss': 2.016, 'grad_norm': 3.8616840839385986, 'learning_rate': 1.551230136545182e-06, 'epoch': 0.64}
{'loss': 1.9267, 'grad_norm': 4.393020153045654, 'learning_rate': 1.5300853502769378e-06, 'epoch': 0.65}
{'loss': 2.006, 'grad_norm': 4.0305070877075195, 'learning_rate': 1.5090219298254407e-06, 'epoch': 0.65}
{'loss': 1.888, 'grad_norm': 3.911696672439575, 'learning_rate': 1.4880416421940155e-06, 'epoch': 0.65}
{'loss': 1.907, 'grad_norm': 6.696452617645264, 'learning_rate': 1.4671462474119986e-06, 'epoch': 0.65}
{'loss': 1.4487, 'grad_norm': 3.6469955444335938, 'learning_rate': 1.4463374983870954e-06, 'epoch': 0.66}
{'loss': 1.7923, 'grad_norm': 3.4948370456695557, 'learning_rate': 1.4256171407583267e-06, 'epoch': 0.66}
{'loss': 1.6376, 'grad_norm': 5.3997578620910645, 'learning_rate': 1.4049869127495886e-06, 'epoch': 0.66}
{'loss': 2.24, 'grad_norm': 4.194934368133545, 'learning_rate': 1.3844485450238354e-06, 'epoch': 0.66}
{'loss': 1.431, 'grad_norm': 4.222836017608643, 'learning_rate': 1.3640037605378908e-06, 'epoch': 0.67}
{'loss': 2.2515, 'grad_norm': 4.082676887512207, 'learning_rate': 1.3436542743979125e-06, 'epoch': 0.67}
{'loss': 1.8098, 'grad_norm': 3.6267194747924805, 'learning_rate': 1.3234017937155096e-06, 'epoch': 0.67}
{'loss': 1.4614, 'grad_norm': 3.326430082321167, 'learning_rate': 1.30324801746454e-06, 'epoch': 0.68}
{'loss': 1.0128, 'grad_norm': 3.358494758605957, 'learning_rate': 1.2831946363385763e-06, 'epoch': 0.68}
{'loss': 1.9861, 'grad_norm': 4.196267127990723, 'learning_rate': 1.2632433326090786e-06, 'epoch': 0.68}
{'loss': 1.7436, 'grad_norm': 3.612973928451538, 'learning_rate': 1.243395779984268e-06, 'epoch': 0.68}
{'loss': 1.6147, 'grad_norm': 10.445159912109375, 'learning_rate': 1.2236536434687193e-06, 'epoch': 0.69}
{'loss': 2.0155, 'grad_norm': 4.004724025726318, 'learning_rate': 1.2040185792236874e-06, 'epoch': 0.69}
{'loss': 1.7014, 'grad_norm': 4.071816444396973, 'learning_rate': 1.1844922344281684e-06, 'epoch': 0.69}
{'loss': 1.292, 'grad_norm': 3.2598941326141357, 'learning_rate': 1.1650762471407193e-06, 'epoch': 0.7}
{'loss': 1.8299, 'grad_norm': 5.230373859405518, 'learning_rate': 1.145772246162043e-06, 'epoch': 0.7}
{'loss': 1.5741, 'grad_norm': 3.5235543251037598, 'learning_rate': 1.1265818508983504e-06, 'epoch': 0.7}
{'loss': 1.2843, 'grad_norm': 4.763321399688721, 'learning_rate': 1.1075066712255042e-06, 'epoch': 0.7}
{'loss': 1.5813, 'grad_norm': 3.219963312149048, 'learning_rate': 1.0885483073539705e-06, 'epoch': 0.71}
{'loss': 1.6269, 'grad_norm': 3.462740421295166, 'learning_rate': 1.0697083496945766e-06, 'epoch': 0.71}
{'loss': 1.9418, 'grad_norm': 3.887763023376465, 'learning_rate': 1.0509883787250915e-06, 'epoch': 0.71}
{'loss': 1.857, 'grad_norm': 3.8211262226104736, 'learning_rate': 1.0323899648576432e-06, 'epoch': 0.71}
{'loss': 1.9759, 'grad_norm': 4.749716281890869, 'learning_rate': 1.0139146683069728e-06, 'epoch': 0.72}
{'loss': 1.7942, 'grad_norm': 3.768768787384033, 'learning_rate': 9.955640389595497e-07, 'epoch': 0.72}
{'loss': 1.548, 'grad_norm': 3.4474403858184814, 'learning_rate': 9.77339616243557e-07, 'epoch': 0.72}
{'loss': 1.6328, 'grad_norm': 3.977933883666992, 'learning_rate': 9.59242928999742e-07, 'epoch': 0.73}
{'loss': 1.7366, 'grad_norm': 3.992711067199707, 'learning_rate': 9.412754953531664e-07, 'epoch': 0.73}
{'loss': 1.8048, 'grad_norm': 4.54358434677124, 'learning_rate': 9.234388225858523e-07, 'epoch': 0.73}
{'loss': 1.6079, 'grad_norm': 4.32138729095459, 'learning_rate': 9.057344070103335e-07, 'epoch': 0.73}
{'loss': 1.3165, 'grad_norm': 3.348682165145874, 'learning_rate': 8.881637338441324e-07, 'epoch': 0.74}
{'loss': 1.8542, 'grad_norm': 4.783932685852051, 'learning_rate': 8.707282770851671e-07, 'epoch': 0.74}
{'loss': 1.7826, 'grad_norm': 3.709582567214966, 'learning_rate': 8.53429499388094e-07, 'epoch': 0.74}
{'loss': 1.4479, 'grad_norm': 3.405061960220337, 'learning_rate': 8.362688519416084e-07, 'epoch': 0.74}
{'loss': 1.6798, 'grad_norm': 3.6839942932128906, 'learning_rate': 8.192477743467078e-07, 'epoch': 0.75}
{'loss': 1.7237, 'grad_norm': 3.885190963745117, 'learning_rate': 8.023676944959188e-07, 'epoch': 0.75}
{'loss': 1.9316, 'grad_norm': 5.384009838104248, 'learning_rate': 7.856300284535148e-07, 'epoch': 0.75}
{'loss': 1.7014, 'grad_norm': 3.7168917655944824, 'learning_rate': 7.690361803367222e-07, 'epoch': 0.76}
{'loss': 1.9525, 'grad_norm': 4.441701412200928, 'learning_rate': 7.525875421979298e-07, 'epoch': 0.76}
{'loss': 1.2547, 'grad_norm': 2.8771822452545166, 'learning_rate': 7.362854939079093e-07, 'epoch': 0.76}
{'loss': 1.9554, 'grad_norm': 4.248926162719727, 'learning_rate': 7.2013140304006e-07, 'epoch': 0.76}
{'loss': 1.7982, 'grad_norm': 3.837303638458252, 'learning_rate': 7.041266247556814e-07, 'epoch': 0.77}
{'loss': 1.7435, 'grad_norm': 4.0041823387146, 'learning_rate': 6.882725016902894e-07, 'epoch': 0.77}
{'loss': 1.1913, 'grad_norm': 3.123163938522339, 'learning_rate': 6.725703638409861e-07, 'epoch': 0.77}
{'loss': 1.9479, 'grad_norm': 3.8474183082580566, 'learning_rate': 6.570215284548825e-07, 'epoch': 0.78}
{'loss': 1.7682, 'grad_norm': 3.8205504417419434, 'learning_rate': 6.416272999185974e-07, 'epoch': 0.78}
{'loss': 1.3238, 'grad_norm': 3.247457981109619, 'learning_rate': 6.263889696488326e-07, 'epoch': 0.78}
{'loss': 1.513, 'grad_norm': 3.7311477661132812, 'learning_rate': 6.113078159840366e-07, 'epoch': 0.78}
{'loss': 1.6792, 'grad_norm': 4.247641086578369, 'learning_rate': 5.963851040771639e-07, 'epoch': 0.79}
{'loss': 2.0225, 'grad_norm': 4.264673233032227, 'learning_rate': 5.81622085789545e-07, 'epoch': 0.79}
{'loss': 1.9521, 'grad_norm': 3.8468120098114014, 'learning_rate': 5.670199995858633e-07, 'epoch': 0.79}
{'loss': 1.7893, 'grad_norm': 3.670117139816284, 'learning_rate': 5.525800704302639e-07, 'epoch': 0.79}
{'loss': 1.6605, 'grad_norm': 3.6506965160369873, 'learning_rate': 5.383035096835934e-07, 'epoch': 0.8}
{'loss': 1.9508, 'grad_norm': 4.936553478240967, 'learning_rate': 5.24191515001774e-07, 'epoch': 0.8}
{'loss': 1.1397, 'grad_norm': 3.2781801223754883, 'learning_rate': 5.102452702353372e-07, 'epoch': 0.8}
{'loss': 1.9187, 'grad_norm': 3.694512367248535, 'learning_rate': 4.964659453301088e-07, 'epoch': 0.81}
{'loss': 1.3758, 'grad_norm': 3.5115203857421875, 'learning_rate': 4.828546962290631e-07, 'epoch': 0.81}
{'loss': 1.4864, 'grad_norm': 3.398059129714966, 'learning_rate': 4.6941266477535135e-07, 'epoch': 0.81}
{'loss': 1.3506, 'grad_norm': 3.116795778274536, 'learning_rate': 4.561409786165133e-07, 'epoch': 0.81}
{'loss': 1.6392, 'grad_norm': 5.203448295593262, 'learning_rate': 4.4304075110987775e-07, 'epoch': 0.82}
{'loss': 1.838, 'grad_norm': 4.295067310333252, 'learning_rate': 4.30113081229164e-07, 'epoch': 0.82}
{'loss': 1.5144, 'grad_norm': 3.344602346420288, 'learning_rate': 4.1735905347229184e-07, 'epoch': 0.82}
{'loss': 1.5893, 'grad_norm': 3.833754539489746, 'learning_rate': 4.0477973777039854e-07, 'epoch': 0.82}
{'loss': 1.4324, 'grad_norm': 3.4604427814483643, 'learning_rate': 3.9237618939808655e-07, 'epoch': 0.83}
{'loss': 1.9862, 'grad_norm': 4.0206990242004395, 'learning_rate': 3.801494488848953e-07, 'epoch': 0.83}
{'loss': 1.8482, 'grad_norm': 3.7373158931732178, 'learning_rate': 3.681005419280123e-07, 'epoch': 0.83}
{'loss': 1.4868, 'grad_norm': 3.2338716983795166, 'learning_rate': 3.562304793062263e-07, 'epoch': 0.84}
{'loss': 1.7112, 'grad_norm': 3.5605788230895996, 'learning_rate': 3.445402567951359e-07, 'epoch': 0.84}
{'loss': 1.7476, 'grad_norm': 3.765660524368286, 'learning_rate': 3.330308550836109e-07, 'epoch': 0.84}
{'loss': 1.6358, 'grad_norm': 5.595513343811035, 'learning_rate': 3.217032396915265e-07, 'epoch': 0.84}
{'loss': 1.7644, 'grad_norm': 3.9633984565734863, 'learning_rate': 3.1055836088876274e-07, 'epoch': 0.85}
{'loss': 1.825, 'grad_norm': 3.8548150062561035, 'learning_rate': 2.995971536154882e-07, 'epoch': 0.85}
{'loss': 1.7684, 'grad_norm': 3.8017969131469727, 'learning_rate': 2.888205374037284e-07, 'epoch': 0.85}
{'loss': 1.8738, 'grad_norm': 3.7276391983032227, 'learning_rate': 2.782294163002261e-07, 'epoch': 0.86}
{'loss': 1.7782, 'grad_norm': 3.898118257522583, 'learning_rate': 2.678246787906014e-07, 'epoch': 0.86}
{'loss': 2.0228, 'grad_norm': 4.701685905456543, 'learning_rate': 2.5760719772481566e-07, 'epoch': 0.86}
{'loss': 1.8334, 'grad_norm': 3.9568629264831543, 'learning_rate': 2.4757783024395244e-07, 'epoch': 0.86}
{'loss': 1.5923, 'grad_norm': 3.344155788421631, 'learning_rate': 2.3773741770830582e-07, 'epoch': 0.87}
{'loss': 1.6923, 'grad_norm': 3.830862283706665, 'learning_rate': 2.2808678562680513e-07, 'epoch': 0.87}
{'loss': 1.9511, 'grad_norm': 4.006626605987549, 'learning_rate': 2.1862674358775983e-07, 'epoch': 0.87}
{'loss': 1.3831, 'grad_norm': 3.1553397178649902, 'learning_rate': 2.0935808519094352e-07, 'epoch': 0.87}
{'loss': 1.9167, 'grad_norm': 4.121497631072998, 'learning_rate': 2.002815879810205e-07, 'epoch': 0.88}
{'loss': 1.3192, 'grad_norm': 4.627492427825928, 'learning_rate': 1.9139801338231705e-07, 'epoch': 0.88}
{'loss': 1.6533, 'grad_norm': 3.6285481452941895, 'learning_rate': 1.8270810663494591e-07, 'epoch': 0.88}
{'loss': 1.6608, 'grad_norm': 3.905853509902954, 'learning_rate': 1.7421259673228803e-07, 'epoch': 0.89}
{'loss': 1.6987, 'grad_norm': 3.738476514816284, 'learning_rate': 1.659121963598384e-07, 'epoch': 0.89}
{'loss': 1.6936, 'grad_norm': 6.794654369354248, 'learning_rate': 1.57807601835418e-07, 'epoch': 0.89}
{'loss': 2.1486, 'grad_norm': 4.211124420166016, 'learning_rate': 1.4989949305076107e-07, 'epoch': 0.89}
{'loss': 1.6615, 'grad_norm': 3.4866528511047363, 'learning_rate': 1.4218853341447819e-07, 'epoch': 0.9}
{'loss': 2.0961, 'grad_norm': 4.533500671386719, 'learning_rate': 1.3467536979640316e-07, 'epoch': 0.9}
{'loss': 1.7001, 'grad_norm': 4.3339667320251465, 'learning_rate': 1.273606324733284e-07, 'epoch': 0.9}
{'loss': 1.658, 'grad_norm': 3.716552495956421, 'learning_rate': 1.202449350761306e-07, 'epoch': 0.9}
{'loss': 1.9778, 'grad_norm': 4.116285800933838, 'learning_rate': 1.1332887453829295e-07, 'epoch': 0.91}
{'loss': 1.8824, 'grad_norm': 3.7440779209136963, 'learning_rate': 1.0661303104582882e-07, 'epoch': 0.91}
{'loss': 2.3951, 'grad_norm': 4.2741546630859375, 'learning_rate': 1.000979679886116e-07, 'epoch': 0.91}
{'loss': 1.5268, 'grad_norm': 6.144827365875244, 'learning_rate': 9.378423191310909e-08, 'epoch': 0.92}
{'loss': 2.1945, 'grad_norm': 4.449120998382568, 'learning_rate': 8.7672352476538e-08, 'epoch': 0.92}
{'loss': 2.3448, 'grad_norm': 4.192863464355469, 'learning_rate': 8.176284240242638e-08, 'epoch': 0.92}
{'loss': 1.7567, 'grad_norm': 5.153299331665039, 'learning_rate': 7.605619743760561e-08, 'epoch': 0.92}
{'loss': 1.7335, 'grad_norm': 4.211774826049805, 'learning_rate': 7.055289631062001e-08, 'epoch': 0.93}
{'loss': 1.9327, 'grad_norm': 4.219330787658691, 'learning_rate': 6.525340069156699e-08, 'epoch': 0.93}
{'loss': 1.17, 'grad_norm': 3.5319809913635254, 'learning_rate': 6.01581551533681e-08, 'epoch': 0.93}
{'loss': 1.596, 'grad_norm': 3.361001491546631, 'learning_rate': 5.526758713447322e-08, 'epoch': 0.94}
{'loss': 1.3038, 'grad_norm': 3.307995319366455, 'learning_rate': 5.0582106903004636e-08, 'epoch': 0.94}
{'loss': 1.6605, 'grad_norm': 4.6559624671936035, 'learning_rate': 4.61021075223364e-08, 'epoch': 0.94}
{'loss': 1.6213, 'grad_norm': 3.4963784217834473, 'learning_rate': 4.1827964818124676e-08, 'epoch': 0.94}
{'loss': 1.7941, 'grad_norm': 4.194228172302246, 'learning_rate': 3.7760037346776245e-08, 'epoch': 0.95}
{'loss': 2.0366, 'grad_norm': 3.7912731170654297, 'learning_rate': 3.389866636537092e-08, 'epoch': 0.95}
{'loss': 2.109, 'grad_norm': 4.709660530090332, 'learning_rate': 3.0244175803033625e-08, 'epoch': 0.95}
{'loss': 1.7855, 'grad_norm': 3.511444568634033, 'learning_rate': 2.6796872233759706e-08, 'epoch': 0.95}
{'loss': 1.8779, 'grad_norm': 3.8851561546325684, 'learning_rate': 2.3557044850696932e-08, 'epoch': 0.96}
{'loss': 1.1137, 'grad_norm': 2.7893292903900146, 'learning_rate': 2.052496544188487e-08, 'epoch': 0.96}
{'loss': 1.6601, 'grad_norm': 3.6960370540618896, 'learning_rate': 1.7700888367454537e-08, 'epoch': 0.96}
{'loss': 1.8875, 'grad_norm': 5.640644550323486, 'learning_rate': 1.508505053829046e-08, 'epoch': 0.97}
{'loss': 1.2534, 'grad_norm': 2.690809726715088, 'learning_rate': 1.2677671396156832e-08, 'epoch': 0.97}
{'loss': 1.5755, 'grad_norm': 3.647843599319458, 'learning_rate': 1.0478952895287553e-08, 'epoch': 0.97}
{'loss': 1.6257, 'grad_norm': 4.234574317932129, 'learning_rate': 8.489079485444751e-09, 'epoch': 0.97}
{'loss': 1.5608, 'grad_norm': 3.5849456787109375, 'learning_rate': 6.708218096445896e-09, 'epoch': 0.98}
{'loss': 1.5528, 'grad_norm': 3.4281249046325684, 'learning_rate': 5.136518124159162e-09, 'epoch': 0.98}
{'loss': 1.0241, 'grad_norm': 2.9329793453216553, 'learning_rate': 3.774111417971793e-09, 'epoch': 0.98}
{'loss': 1.3987, 'grad_norm': 4.5068769454956055, 'learning_rate': 2.62111226972811e-09, 'epoch': 0.98}
{'loss': 2.0497, 'grad_norm': 3.912024974822998, 'learning_rate': 1.677617404142462e-09, 'epoch': 0.99}
{'loss': 1.5494, 'grad_norm': 3.2068657875061035, 'learning_rate': 9.437059706846052e-10, 'epoch': 0.99}
{'loss': 1.7013, 'grad_norm': 6.745162487030029, 'learning_rate': 4.19439536940569e-10, 'epoch': 0.99}
{'loss': 1.7061, 'grad_norm': 3.387133836746216, 'learning_rate': 1.0486208344651084e-10, 'epoch': 1.0}
{'loss': 1.4974, 'grad_norm': 3.8084397315979004, 'learning_rate': 0.0, 'epoch': 1.0}
Configuration saved in /share/goyal/lio/knowledge_update/continued_pretraining/model/new_knowledge-newhandpicked_rephrased5news_priorlearning-lr5e-06-rt1-rr0.1-epochs1-blocksize2048-bs16-wd0.01-warmup0.05-Llama3.18B/checkpoint-362/config.json
Configuration saved in /share/goyal/lio/knowledge_update/continued_pretraining/model/new_knowledge-newhandpicked_rephrased5news_priorlearning-lr5e-06-rt1-rr0.1-epochs1-blocksize2048-bs16-wd0.01-warmup0.05-Llama3.18B/checkpoint-362/generation_config.json
The model is bigger than the maximum size per checkpoint (5GB) and is going to be split in 7 checkpoint shards. You can find where each parameters has been saved in the index located at /share/goyal/lio/knowledge_update/continued_pretraining/model/new_knowledge-newhandpicked_rephrased5news_priorlearning-lr5e-06-rt1-rr0.1-epochs1-blocksize2048-bs16-wd0.01-warmup0.05-Llama3.18B/checkpoint-362/model.safetensors.index.json.
2025-01-07 01:14:18,031 - INFO - Saving model to /share/goyal/lio/knowledge_update/continued_pretraining/model/new_knowledge-newhandpicked_rephrased5news_priorlearning-lr5e-06-rt1-rr0.1-epochs1-blocksize2048-bs16-wd0.01-warmup0.05-Llama3.18B/checkpoint-362/pytorch_model_fsdp.bin
2025-01-07 01:15:03,903 - INFO - Model saved to /share/goyal/lio/knowledge_update/continued_pretraining/model/new_knowledge-newhandpicked_rephrased5news_priorlearning-lr5e-06-rt1-rr0.1-epochs1-blocksize2048-bs16-wd0.01-warmup0.05-Llama3.18B/checkpoint-362/pytorch_model_fsdp.bin
2025-01-07 01:15:31,910 - INFO - Saving Optimizer state to /share/goyal/lio/knowledge_update/continued_pretraining/model/new_knowledge-newhandpicked_rephrased5news_priorlearning-lr5e-06-rt1-rr0.1-epochs1-blocksize2048-bs16-wd0.01-warmup0.05-Llama3.18B/checkpoint-362/optimizer.bin
2025-01-07 01:16:52,027 - INFO - Optimizer state saved in /share/goyal/lio/knowledge_update/continued_pretraining/model/new_knowledge-newhandpicked_rephrased5news_priorlearning-lr5e-06-rt1-rr0.1-epochs1-blocksize2048-bs16-wd0.01-warmup0.05-Llama3.18B/checkpoint-362/optimizer.bin
Saving model checkpoint to /share/goyal/lio/knowledge_update/continued_pretraining/model/new_knowledge-newhandpicked_rephrased5news_priorlearning-lr5e-06-rt1-rr0.1-epochs1-blocksize2048-bs16-wd0.01-warmup0.05-Llama3.18B/checkpoint-362
Configuration saved in /share/goyal/lio/knowledge_update/continued_pretraining/model/new_knowledge-newhandpicked_rephrased5news_priorlearning-lr5e-06-rt1-rr0.1-epochs1-blocksize2048-bs16-wd0.01-warmup0.05-Llama3.18B/checkpoint-362/config.json
Configuration saved in /share/goyal/lio/knowledge_update/continued_pretraining/model/new_knowledge-newhandpicked_rephrased5news_priorlearning-lr5e-06-rt1-rr0.1-epochs1-blocksize2048-bs16-wd0.01-warmup0.05-Llama3.18B/checkpoint-362/generation_config.json
The model is bigger than the maximum size per checkpoint (5GB) and is going to be split in 7 checkpoint shards. You can find where each parameters has been saved in the index located at /share/goyal/lio/knowledge_update/continued_pretraining/model/new_knowledge-newhandpicked_rephrased5news_priorlearning-lr5e-06-rt1-rr0.1-epochs1-blocksize2048-bs16-wd0.01-warmup0.05-Llama3.18B/checkpoint-362/model.safetensors.index.json.
2025-01-07 01:18:54,421 - INFO - Saving model to /share/goyal/lio/knowledge_update/continued_pretraining/model/new_knowledge-newhandpicked_rephrased5news_priorlearning-lr5e-06-rt1-rr0.1-epochs1-blocksize2048-bs16-wd0.01-warmup0.05-Llama3.18B/checkpoint-362/pytorch_model_fsdp.bin
2025-01-07 01:19:39,679 - INFO - Model saved to /share/goyal/lio/knowledge_update/continued_pretraining/model/new_knowledge-newhandpicked_rephrased5news_priorlearning-lr5e-06-rt1-rr0.1-epochs1-blocksize2048-bs16-wd0.01-warmup0.05-Llama3.18B/checkpoint-362/pytorch_model_fsdp.bin
2025-01-07 01:20:07,602 - INFO - Saving Optimizer state to /share/goyal/lio/knowledge_update/continued_pretraining/model/new_knowledge-newhandpicked_rephrased5news_priorlearning-lr5e-06-rt1-rr0.1-epochs1-blocksize2048-bs16-wd0.01-warmup0.05-Llama3.18B/checkpoint-362/optimizer.bin
2025-01-07 01:21:35,663 - INFO - Optimizer state saved in /share/goyal/lio/knowledge_update/continued_pretraining/model/new_knowledge-newhandpicked_rephrased5news_priorlearning-lr5e-06-rt1-rr0.1-epochs1-blocksize2048-bs16-wd0.01-warmup0.05-Llama3.18B/checkpoint-362/optimizer.bin


Training completed. Do not forget to share your model on huggingface.co/models =)


100%|████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 362/362 [16:44<00:00,  2.78s/it]
{'train_runtime': 1006.3404, 'train_samples_per_second': 1.44, 'train_steps_per_second': 0.36, 'train_loss': 1.7587244266963136, 'epoch': 1.0}
Saving model checkpoint to /share/goyal/lio/knowledge_update/continued_pretraining/model/new_knowledge-newhandpicked_rephrased5news_priorlearning-lr5e-06-rt1-rr0.1-epochs1-blocksize2048-bs16-wd0.01-warmup0.05-Llama3.18B
Configuration saved in /share/goyal/lio/knowledge_update/continued_pretraining/model/new_knowledge-newhandpicked_rephrased5news_priorlearning-lr5e-06-rt1-rr0.1-epochs1-blocksize2048-bs16-wd0.01-warmup0.05-Llama3.18B/config.json
Configuration saved in /share/goyal/lio/knowledge_update/continued_pretraining/model/new_knowledge-newhandpicked_rephrased5news_priorlearning-lr5e-06-rt1-rr0.1-epochs1-blocksize2048-bs16-wd0.01-warmup0.05-Llama3.18B/generation_config.json
The model is bigger than the maximum size per checkpoint (5GB) and is going to be split in 7 checkpoint shards. You can find where each parameters has been saved in the index located at /share/goyal/lio/knowledge_update/continued_pretraining/model/new_knowledge-newhandpicked_rephrased5news_priorlearning-lr5e-06-rt1-rr0.1-epochs1-blocksize2048-bs16-wd0.01-warmup0.05-Llama3.18B/model.safetensors.index.json.
